City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,2012,Wrestling,Wrestling Free.,"CHUN, Clarissa Kyoko Mei Ling",USA,Women,- 48kg (light-flyweight),W,Bronze
London,2012,Taekwondo,Taekwondo,"JENNINGS, Terrence",USA,Men,58 - 68 kg,M,Bronze
London,2012,Fencing,Fencing,"LAWRENCE, Maya",USA,Women,foil team,W,Bronze
London,2012,Rowing,Rowing,"KALMOE, Megan",USA,Women,quadruple sculls with coxswain (4x),W,Bronze
London,2012,Aquatics,Diving,"IPSEN, Kristian",USA,Men,3m springboard,M,Bronze
London,2012,Tennis,Tennis,"RAYMOND, Lisa",USA,Unknown,mixed doubles,X,Bronze
London,2012,Aquatics,Swimming,"LEVERENZ, Caitlin",USA,Women,200m individual medley,W,Bronze
London,2012,Gymnastics,Artistic G.,"LEYVA, Danell",USA,Men,individual all-round,M,Bronze
London,2012,Athletics,Athletics,"DELOACH, Janay",USA,Women,long jump,W,Bronze
London,2012,Rowing,Rowing,"GAULT, Scott",USA,Men,four-oared shell with coxswain (4-),M,Bronze
